["Melinda", "Ron", 2775]
["Hildred", "Sallie", 2.41]
["Gabrielle", "Diane", 2.39]
["Kristy", "Paige", 2.36]
["Alene", "Tonya", 2.35]
["Catherine", "Leonard", 2.31]
["Reynaldo", "Josephine", 2.3]
["Agripina", "Hazel", 2.28]
["Shirley", "Leticia", 2.28]
["Miriam", "Gary", 2.27]
["Alton", "Cheryl", 2.2]
["Tommie", "Athena", 2.17]
["August", "Lucy", 2.17]
["Bradford", "Chad", 2.15]
["Melissa", "Aundrea", 2.08]
["Marisol", "Griselda", 2.02]
["Cora", "Juan", 1.99]
["Pete", "Benny", 1.96]
["Steve", "Gwendolyn", 1.96]
["Austin", "Landon", 1.96]
["Jocelyn", "Josie", 1.96]
["Hugh", "Alex", 1.96]
["Chester", "Jim", 1.95]
["Lynda", "Elisabeth", 1.94]
["Cassandra", "Selma", 1.93]
["Le", "Serena", 1.92]
["Shawna", "Karissa", 1.9]
["Kristofer", "Louis", 1.9]
["Cheri", "Tasha", 1.89]
["Delbert", "Elenor", 1.87]
["Rafael", "Walter", 1.86]
["Casey", "Shawn", 1.86]
["Leigh", "Jeffery", 1.85]
["Faith", "Danny", 1.85]
["Joshua", "Belen", 1.84]
["Kyle", "Manuel", 1.82]
["Paula", "Sharell", 1.81]
["Vincent", "Lakiesha", 1.79]
["Alicia", "Dawna", 1.79]
["Cherie", "Joseph", 1.78]
["Ruth", "Olga", 1.59]
["Carolina", "Hilda", 1.59]
["Alvin", "Jon", 1.58]
["Morgan", "Danielle", 1.53]
["Millie", "Lamar", 1.48]
["Alexandria", "Trevor", 1.44]
["Cameron", "Jodi", 1.43]
["Tina", "Jennifer", 1.43]
["Jayme", "Edgar", 1.41]
["Ricardo", "Lauren", 1.28]
["Natalie", "Roy", 1.28]
["Clarence", "Lula", 1.2]
["Heath", "Evelyn", 1.18]
["Ashlie", "Bonnie", 1.12]
["Duane", "Nichole", 0.98]
["Elsy", "Marvin", 0.96]
["Phil", "Eddie", 0.88]
["Frances", "Bev", 0.87]
["Elmer", "Lawrence", 0.85]
["Jan", "Jenny", 0.84]
["Elsa", "Marta", 0.71]
["Kelley", "Susan", 0.7]
["Emma", "Shauna", 0.67]
["Sun", "Margarito", 0.67]
["Kristopher", "Randal", 0.64]
["Inez", "Joyce", 0.63]
["Tania", "Jordan", 0.6]
["Ira", "Terry", 0.52]
["Bobbie", "Delmer", 0.51]
["Lindsay", "Adriana", 0.49]
["Shameka", "Darrell", 0.43]
["Andrew", "Emily", 0.43]
["Williemae", "Jeanette", 0.42]
["Shane", "Juan", 0.42]
["Jewel", "Benny", 0.41]
["Andy", "Rebecca", 0.41]
["Val", "Ofelia", 0.41]
["Carolyn", "Gwendolyn", 0.41]
["Gail", "Landon", 0.41]
["Arturo", "Josie", 0.41]
["Rita", "Sonja", 0.4]
["Shelly", "Jim", 0.4]
["Julio", "Alex", 0.39]
["Daisey", "Elisabeth", 0.39]
["Antony", "Griselda", 0.39]
["Paris", "Olin", 0.39]
["Wilhelmina", "Karissa", 0.37]
["Connie", "Sheree", 0.37]
["Cathleen", "Maria", 0.37]
["Delphine", "Jonathan", 0.36]
["Blair", "Serena", 0.35]
["Peggy", "Selma", 0.34]
["Jeffrey", "Abel", 0.34]
["Angie", "Camie", 0.34]
["Lynn", "Walter", 0.34]
["Kelley", "Amber", 0.33]
["Tanesha", "Aundrea", 0.33]
["Elsa", "Louis", 0.33]
["Emma", "Elenor", 0.32]
["Shameka", "Athena", 0.32]
["Howard", "Shawn", 0.3]
["Andrew", "Olga", 0.28]
["Robyn", "Cheryl", 0.28]
["Ira", "Tasha", 0.28]
["Kristopher", "Trevor", 0.28]
["Williemae", "Leonard", 0.27]
["Carol", "Leticia", 0.27]
["Andy", "Danielle", 0.27]
["Jewel", "Lucy", 0.27]
["Tania", "Hazel", 0.27]
["Lindsay", "Chad", 0.27]
["Shane", "Hilda", 0.26]
["Sun", "Brenda", 0.26]
["Carolyn", "Paige", 0.26]
["Val", "Jon", 0.26]
["Bobbie", "Diane", 0.26]
["Inez", "Tonya", 0.26]
["Ilene", "Jeffery", 0.25]
["Stanley", "Gary", 0.25]
["Phil", "Josephine", 0.22]
["Elmer", "Jackie", 0.22]
["Jan", "Sharell", 0.22]
["Lucie", "Sallie", 0.21]
["Frances", "Danny", 0.21]
["Rory", "Lakiesha", 0.19]
["Gail", "Lamar", 0.19]
["Elsy", "Dawna", 0.18]
["Sally", "Belen", 0.18]
["Duane", "Manuel", 0.17]
["Bertha", "Winter", 0.17]
["Arturo", "Erika", 0.17]
["Rita", "Jodi", 0.16]
["Della", "Margaret", 0.14]
["Estelle", "Edgar", 0.14]
["Shelly", "Jennifer", 0.14]
["Clarence", "Gerry", 0.13]
["Daisey", "Joseph", 0.13]
["Cathleen", "Crystal", 0.13]
["Julio", "Mollie", 0.12]
["Connie", "Dawna", 0.09]
["Wilhelmina", "Manuel", 0.09]
["Antony", "Judy", 0.08]
["Ricardo", "Lakiesha", 0.08]
["Paris", "Lamar", 0.08]
["Delphine", "Belen", 0.08]
["Joe", "Winter", 0.07]
["Heath", "Erika", 0.07]
["Blair", "Josephine", 0.06]
["Peggy", "Jackie", 0.06]
["Natalie", "Sallie", 0.06]
["Virginia", "Danny", 0.06]
["Arlene", "Margaret", 0.06]
["Jose", "Sharell", 0.05]
["Jeffrey", "Edgar", 0.04]
["Ismael", "Jennifer", 0.04]
["Blair", "Jodi", 0.04]
["Antony", "Leonard", 0.03]
["Nicholas", "Leticia", 0.03]
["Ahmad", "Danielle", 0.03]
["Ashlie", "Jeffery", 0.03]
["Peggy", "Brenda", 0.03]
["Connie", "Hilda", 0.03]
["Wilhelmina", "Lucy", 0.03]
["Natalie", "Hazel", 0.03]
["Paris", "Chad", 0.03]
["Delphine", "Gary", 0.03]
["Joe", "Paige", 0.03]
["Heath", "Trevor", 0.02]
["Ricardo", "Olga", 0.02]
["Angie", "Diane", 0.02]
["Jeffrey", "Tonya", 0.02]
["Jose", "Cheryl", 0.02]
["Virginia", "Tasha", 0.02]
["Arlene", "Jon", 0.02]
["Melodie", "Shawn", 0.02]
["Antony", "Gerry", 0.01]
["Ismael", "Elenor", 0.01]
["Julio", "Joseph", 0.01]
