["Melinda", "Ron", 2775.01]
["Edward", "Sallie", 2.41]
["Gabrielle", "Diane", 2.39]
["Johnie", "Paige", 2.36]
["Kristy", "Tonya", 2.33]
["Catherine", "Leonard", 2.32]
["Reynaldo", "Leticia", 2.3]
["Alicia", "Hazel", 2.28]
["Miriam", "Sharell", 2.28]
["Agripina", "Gary", 2.28]
["Alton", "Cheryl", 2.2]
["Tommie", "Lucy", 2.18]
["August", "Athena", 2.16]
["Bradford", "Chad", 2.15]
["Melissa", "Griselda", 2.08]
["Shirley", "Aundrea", 2.02]
["Jocelyn", "Juan", 1.98]
["Austin", "Alex", 1.97]
["Pete", "Josie", 1.97]
["Steve", "Gwendolyn", 1.97]
["Marisol", "Benny", 1.96]
["Lynda", "Landon", 1.96]
["Hugh", "Jim", 1.96]
["Le", "Elisabeth", 1.95]
["Cassandra", "Selma", 1.94]
["Chester", "Karissa", 1.94]
["Shawna", "Serena", 1.92]
["Cheri", "Louis", 1.91]
["Kristofer", "Walter", 1.91]
["Delbert", "Elenor", 1.87]
["Rafael", "Tasha", 1.87]
["Casey", "Shawn", 1.87]
["Leigh", "Jeffery", 1.86]
["Jayme", "Danny", 1.86]
["Faith", "Belen", 1.86]
["Kyle", "Josephine", 1.85]
["Cora", "Manuel", 1.82]
["Paula", "Lakiesha", 1.81]
["Vincent", "Dawna", 1.81]
["Cherie", "Joseph", 1.79]
["Carolina", "Hilda", 1.6]
["Joshua", "Olga", 1.59]
["Ruth", "Jon", 1.58]
["Morgan", "Trevor", 1.55]
["Millie", "Lamar", 1.49]
["Alexandria", "Danielle", 1.45]
["Tina", "Jodi", 1.44]
["Cameron", "Jennifer", 1.42]
["Alvin", "Edgar", 1.41]
["Ricardo", "Lauren", 1.27]
["Natalie", "Evelyn", 1.27]
["Clarence", "Lula", 1.21]
["Heath", "Roy", 1.19]
["Ashlie", "Bonnie", 1.12]
["Duane", "Nichole", 1]
["Elsy", "Marvin", 0.97]
["Frances", "Bev", 0.89]
["Kristopher", "Lawrence", 0.87]
["Elmer", "Eddie", 0.87]
["Jan", "Jenny", 0.85]
["Kelley", "Marta", 0.71]
["Elsa", "Susan", 0.71]
["Emma", "Margarito", 0.69]
["Sun", "Shauna", 0.65]
["Arturo", "Joyce", 0.64]
["Inez", "Randal", 0.64]
["Tania", "Jordan", 0.6]
["Ira", "Terry", 0.52]
["Bobbie", "Delmer", 0.51]
["Lindsay", "Adriana", 0.48]
["Shameka", "Emily", 0.46]
["Andrew", "Darrell", 0.43]
["Jewel", "Juan", 0.43]
["Williemae", "Ofelia", 0.42]
["Andy", "Jeanette", 0.42]
["Shane", "Landon", 0.41]
["Val", "Gwendolyn", 0.41]
["Carolyn", "Alex", 0.41]
["Gail", "Benny", 0.41]
["Phil", "Olin", 0.41]
["Antony", "Rebecca", 0.41]
["Julio", "Josie", 0.41]
["Rita", "Aundrea", 0.4]
["Paris", "Jim", 0.39]
["Shelly", "Reatha", 0.39]
["Cathleen", "Winter", 0.39]
["Delphine", "Elisabeth", 0.38]
["Daisey", "Maria", 0.37]
["Wilhelmina", "Sheree", 0.37]
["Connie", "Abel", 0.36]
["Blair", "Griselda", 0.36]
["Peggy", "Amber", 0.36]
["Jeffrey", "Serena", 0.36]
["Angie", "Selma", 0.35]
["Tanesha", "Cheryl", 0.33]
["Robyn", "Lucy", 0.32]
["Elsa", "Elenor", 0.32]
["Kelley", "Camie", 0.32]
["Lynn", "Karissa", 0.31]
["Sun", "Tasha", 0.3]
["Emma", "Chad", 0.29]
["Shameka", "Athena", 0.29]
["Lindsay", "Tonya", 0.29]
["Arturo", "Walter", 0.29]
["Carol", "Louis", 0.29]
["Ira", "Sallie", 0.28]
["Andrew", "Hazel", 0.28]
["Ilene", "Paige", 0.27]
["Bobbie", "Shawn", 0.27]
["Howard", "Jackie", 0.27]
["Jewel", "Sharell", 0.26]
["Shane", "Brenda", 0.26]
["Andy", "Leticia", 0.26]
["Williemae", "Jon", 0.26]
["Val", "Danielle", 0.26]
["Tania", "Leonard", 0.26]
["Carolyn", "Olga", 0.26]
["Inez", "Gary", 0.25]
["Kristopher", "Jeffery", 0.23]
["Stanley", "Lamar", 0.23]
["Lucie", "Hilda", 0.22]
["Frances", "Diane", 0.22]
["Elmer", "Trevor", 0.21]
["Gail", "Manuel", 0.21]
["Jan", "Danny", 0.2]
["Rory", "Erika", 0.2]
["Bertha", "Jonathan", 0.2]
["Phil", "Josephine", 0.19]
["Sally", "Belen", 0.18]
["Elsy", "Lakiesha", 0.18]
["Antony", "Dawna", 0.16]
["Duane", "Jodi", 0.16]
["Daisey", "Jennifer", 0.15]
["Wilhelmina", "Margaret", 0.15]
["Rita", "Edgar", 0.15]
["Julio", "Gerry", 0.14]
["Connie", "Joseph", 0.14]
["Della", "Crystal", 0.13]
["Ricardo", "Mollie", 0.11]
["Shelly", "Judy", 0.08]
["Paris", "Belen", 0.08]
["Delphine", "Trevor", 0.08]
["Cathleen", "Manuel", 0.07]
["Estelle", "Lakiesha", 0.07]
["Blair", "Diane", 0.07]
["Virginia", "Dawna", 0.07]
["Natalie", "Josephine", 0.07]
["Clarence", "Danny", 0.07]
["Joe", "Hilda", 0.07]
["Heath", "Jonathan", 0.06]
["Arlene", "Erika", 0.06]
["Jose", "Margaret", 0.06]
["Peggy", "Jennifer", 0.06]
["Jeffrey", "Lamar", 0.06]
["Nicholas", "Jeffery", 0.06]
["Cathleen", "Jodi", 0.05]
["Ashlie", "Edgar", 0.05]
["Delphine", "Leonard", 0.04]
["Ismael", "Jon", 0.04]
["Shelly", "Danielle", 0.04]
["Paris", "Brenda", 0.04]
["Blair", "Leticia", 0.04]
["Virginia", "Gary", 0.04]
["Estelle", "Sharell", 0.04]
["Heath", "Chad", 0.04]
["Natalie", "Paige", 0.04]
["Joe", "Tasha", 0.03]
["Clarence", "Olga", 0.03]
["Arlene", "Shawn", 0.03]
["Angie", "Jackie", 0.03]
["Ahmad", "Athena", 0.03]
["Ricardo", "Tonya", 0.03]
["Jose", "Hazel", 0.03]
["Melodie", "Sallie", 0.02]
["Ismael", "Gerry", 0.02]
["Delphine", "Karissa", 0.02]
["Shelly", "Walter", 0.02]
["Paris", "Louis", 0.02]
["Virginia", "Elenor", 0.01]
["Blair", "Camie", 0.01]
["Estelle", "Lucy", 0.01]
["Della", "Cheryl", 0.01]
["Peggy", "Lucy", 0.01]
["Ashlie", "Elenor", 0.01]
["Heath", "Camie", 0.01]
["Cathleen", "Gerry", 0.01]
["Clarence", "Karissa", 0.01]
["Arlene", "Joseph", 0.01]
["Joe", "Sallie", 0.01]
["Natalie", "Walter", 1.56675e-011]
["Jeffrey", "Louis", 1.16529e-011]
["Angie", "Cheryl", 6.35225e-012]
["Natalie", "Cheryl", 5.84777e-012]
["Nicholas", "Karissa", 2.38742e-012]
["Peggy", "Joseph", 1.35003e-012]
["Jose", "Sallie", 9.37916e-013]
